,Production,Activity ($millions),GWP (tons CO2e),Employee Compensation ($millions),Taxes ($millions),Surplus ($millions),Total VA,NOX emissions (tons),SO2 emissions (tons),PM2.5 emissions (tons),VOC emissions (tons),NH3 emissions (tons),Deaths,Total PM2.5 WhiteNoLat mortalities,Total PM2.5 Latino mortalities,Total PM2.5 Black mortalities,Total PM2.5 Asian mortalities,Total PM2.5 Native mortalities,Total PM2.5 Other mortalities,Total PM2.5 TwoXPov mortalities,Total PM2.5 Poverty mortalities,PrimaryPM2_5 TotalPop mortalities,pSO4 TotalPop mortalities,SOA TotalPop mortalities,pNO3 TotalPop mortalities,pNH4 TotalPop mortalities,TotalPop direct mortalities,WhiteNoLat direct mortalities,Latino direct mortalities,Black direct mortalities,Asian direct mortalities,Native direct mortalities,Other direct mortalities,TwoXPov direct mortalities,Poverty direct mortalities,Race_EJ,Income_EJ
"Copper, nickel, lead, and zinc mining",2378,1000,1473020.902,454.718362,115.8830493,412.649227,983.2506383,5325.742844,5939.255824,1483.779522,687.3943216,82.45052406,57.72225497,34.25248526,10.13221352,8.710656687,3.058941785,0.278748084,1.289209638,36.81099037,8.831009114,33.287425,20.52453636,0.674337434,2.908935894,0.32636732,28.34221271,15.97223817,6.144003984,3.67423947,1.680229559,0.178499521,0.693002004,17.81920908,4.461234774,0.003694737,0.001254685
"Gold, silver, and other metal ore mining",3863,1000,1701779.642,565.2612089,96.15156242,310.4821279,971.8948993,5682.346451,4446.004879,950.8052868,854.6113693,206.8217772,43.40316839,25.33684726,7.345029488,7.282428619,2.374853897,0.154521158,0.909487973,27.68197701,6.707328961,24.01200674,15.61448041,1.041764528,2.378772553,0.355881825,15.8053817,8.019434966,3.633770109,2.61991574,1.1330818,0.052120912,0.347058172,9.895775203,2.584340102,0.003369074,0.001092226
Stone mining and quarrying,9430,1000,1150096.685,519.435464,48.87165055,425.4188248,993.7259393,4459.93156,3112.37122,5739.028779,677.8356356,76.87707744,87.3154344,55.72081073,11.45827019,14.2784035,3.645212564,0.398767988,1.813969438,55.65207377,13.32548524,73.35697117,9.999685589,0.769814731,2.778407591,0.409958007,66.45558156,43.19791482,8.251947537,10.69774919,2.601571247,0.324442739,1.381956025,42.32520212,10.12832762,7.39E-05,0.001839695
"Sand, gravel, clay, and refractory mining",7281,1000,1494211.202,574.7553946,51.54316732,366.1246757,992.4232377,5245.267973,3994.566065,5901.490209,817.6921069,88.64355957,99.70472103,61.10032581,15.17625335,16.0035388,4.864825123,0.43872538,2.121052567,63.55292767,15.25632089,83.54903774,12.20084279,0.854072914,2.800933604,0.299091317,69.61549788,43.32610343,10.2099743,11.01349061,3.253172492,0.327897601,1.484859453,44.33186189,10.63833067,0.0036505,0.002188309
Other nonmetallic mineral mining,2169,1000,1964000.386,493.6067274,69.23063981,427.9012341,990.7386013,9116.671789,4718.747831,5371.519674,1543.515724,129.6781903,91.73398108,57.37710619,12.81983228,15.28269002,3.954906616,0.418222518,1.88122346,58.2408089,14.13545903,69.21405513,16.91589305,1.027639856,3.961767451,0.613737344,61.28164479,38.94100077,8.232985025,10.08911889,2.461135354,0.306484313,1.250920443,38.74705439,9.497550067,0.001719594,0.002351141
Drilling oil and gas wells,13239,1000,983996.3624,537.2718263,66.06691927,369.3767131,972.7154587,8989.026001,2661.896787,845.2654027,1942.97779,132.3755257,37.1405077,20.19649413,7.650572363,5.956125456,2.371952608,0.14421723,0.821145917,23.39912231,5.924280431,26.41495286,7.18021001,0.843150661,2.466710586,0.235334117,21.36680407,10.35850947,5.444085074,3.301451544,1.680929523,0.082308725,0.499519735,13.32398955,3.515072265,0.004978082,0.001493737
Support activities for oil and gas operations,16713,1000,648620.2796,600.9274917,62.49909057,312.3401466,975.7667289,6332.032195,1889.854546,577.6606037,1259.981217,83.63580594,25.47160955,13.69685182,5.356364754,4.093242849,1.661184532,0.098007715,0.565957885,16.02961912,4.075889126,18.61104863,4.609395893,0.553789471,1.544764339,0.15254392,16.35255334,7.921075528,4.169126584,2.529431297,1.288079141,0.062446271,0.382394519,10.19669122,2.690864027,0.003631766,0.001062372
Support activities for other mining,3570,1000,976701.1903,660.3235262,48.93951194,277.143057,986.4060951,7075.350335,3034.970459,5659.794139,1261.547067,146.7469327,212.0619444,103.6419886,52.93461854,33.38592703,16.39959939,0.769842112,4.929968796,132.2159153,34.89126826,203.2898748,6.10571167,0.608727713,1.827434048,0.229351204,197.6596233,94.46207819,51.1325049,30.88610382,15.82270074,0.714936223,4.64129942,123.0124192,32.69524183,0.044900063,0.011612903
Power generation and supply,250159,1000,9365571.962,361.2209405,160.6817502,468.6047795,990.5074703,18131.47409,36805.39212,2000.416957,799.2431207,133.8571215,223.3233019,148.7133429,22.0616995,39.05196792,8.418120008,0.741480363,4.336691129,146.3864871,31.8568574,24.58960423,177.9947539,0.580265041,19.32018576,0.832286207,218.2255246,145.8374982,21.10338173,38.20372975,8.13356348,0.719195573,4.228155865,143.1946205,31.03728505,-0.00855918,-0.002316206
Natural gas distribution,93128,1000,2425456.915,355.9699625,113.0347705,521.2121518,990.2168848,4005.36113,4369.94791,312.6703091,2604.00804,36.62176061,31.61421362,20.46217413,3.715385131,5.409581384,1.279841806,0.120477882,0.62675328,20.49581721,4.636105048,5.35112681,20.85815209,1.729095441,3.504878402,0.170811405,2.377439794,1.438955538,0.359254369,0.384977511,0.135643482,0.007272912,0.051335982,1.538883108,0.355015776,-0.000378873,6.94E-05
